Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
39573567,06/26/2018 10:58:54 AM,06/26/2018 12:50:01 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,11421,91-33 97 STREET,97 STREET,91 ROAD,91 DRIVE,,,ADDRESS,WOODHAVEN,,Precinct,Closed,06/26/2018 06:58:54 PM,The Police Department responded to the complaint and determined that police action was not necessary.,06/26/2018 12:50:01 PM,09 QUEENS,4089940058,QUEENS,1026839,190733,PHONE,Unspecified,QUEENS,,,,,,,,40.690092327843345,-73.84642755940943,"(40.690092327843345, -73.84642755940943)"
39573572,06/26/2018 11:59:06 AM,07/19/2018 09:58:24 AM,DOF,Personal Exemption Unit,DOF Property - Reduction Issue,Personal SCHE Exemption,"1-, 2- and 3- Family Home",11411,,,,,,,ADDRESS,CAMBRIA HEIGHTS,,N/A,Closed,07/01/2018 11:59:06 AM,The Department of Finance determined that you are not eligible for this reduction.,07/19/2018 09:58:24 AM,13 QUEENS,4127610163,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,
39573575,06/26/2018 06:35:01 PM,06/26/2018 09:25:47 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11216,556 NOSTRAND AVENUE,NOSTRAND AVENUE,HERKIMER STREET,HERKIMER PLACE,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/27/2018 02:35:01 AM,The Police Department responded to the complaint and determined that police action was not necessary.,06/26/2018 09:25:47 PM,03 BROOKLYN,3018650055,BROOKLYN,998228,186853,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.67953404783147,-73.94960448162308,"(40.67953404783147, -73.94960448162308)"
39573576,06/26/2018 08:06:06 PM,06/26/2018 09:02:25 PM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,10023,103 WEST 73 STREET,WEST 73 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,06/27/2018 04:06:06 AM,The Police Department responded to the complaint and took action to fix the condition.,06/26/2018 09:02:25 PM,07 MANHATTAN,1011450031,MANHATTAN,990134,222833,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.778299426966676,-73.97875468397622,"(40.778299426966676, -73.97875468397622)"
40157411,08/31/2018 11:56:05 AM,11/29/2018 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10459,1041 PROSPECT AVENUE,PROSPECT AVENUE,,,,,ADDRESS,BRONX,,N/A,Closed,12/02/2018 10:31:43 AM,The cleaning crew could not locate the property requiring graffiti removal.,12/27/2018 12:15:24 PM,03 BRONX,2026790001,BRONX,1012057,239769,UNKNOWN,Unspecified,BRONX,,,,,,,,40.82474229806576,-73.89952737044254,"(40.82474229806576, -73.89952737044254)"
41445930,01/17/2019 11:04:50 AM,01/17/2019 12:08:01 PM,DOF,Commercial Exemption Unit,DOF Property - Reduction Issue,Commercial J51 Exemption,Co-Op Unit,10038,,,,,,,ADDRESS,NEW YORK,,N/A,Closed,01/22/2019 11:04:50 AM,The Department of Finance granted this reduction.,01/17/2019 12:08:01 PM,01 MANHATTAN,1000940001,MANHATTAN,,,PHONE,Unspecified,MANHATTAN,,,,,,,,,,
39874139,07/30/2018 08:19:06 AM,08/01/2018 11:01:05 AM,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,11377,41-28 55 STREET,55 STREET,,,,,ADDRESS,Woodside,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,08/01/2018 11:01:05 AM,02 QUEENS,4013230006,QUEENS,1009265,210468,PHONE,Unspecified,QUEENS,,,,,,,,40.74432725714171,-73.90972456279701,"(40.74432725714171, -73.90972456279701)"
39874138,07/30/2018 11:42:53 AM,08/03/2018 08:06:28 AM,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,11203,209 EAST   34 STREET,EAST   34 STREET,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,08/03/2018 08:06:28 AM,17 BROOKLYN,3048710052,BROOKLYN,999291,176791,PHONE,Unspecified,BROOKLYN,,,,,,,,40.651914355666236,-73.94579444873389,"(40.651914355666236, -73.94579444873389)"
40792848,11/09/2018 01:18:00 PM,11/09/2018 01:18:00 PM,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,10040,720 FT WASHINGTON AVENUE,FT WASHINGTON AVENUE,W 190 ST,CABRINI BLVD,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,11/09/2018 01:18:00 PM,12 MANHATTAN,1021800614,MANHATTAN,1002241,251856,PHONE,Unspecified,MANHATTAN,,,,,,,,40.857943024604346,-73.93496223265109,"(40.857943024604346, -73.93496223265109)"
42031488,03/23/2019 09:02:30 PM,03/23/2019 09:20:05 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10462,2011 HOLLAND AVENUE,HOLLAND AVENUE,ANTIN PLACE,BRADY AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,03/24/2019 05:02:30 AM,The Police Department reviewed your complaint and provided additional information below.,03/23/2019 09:20:05 PM,11 BRONX,2042850001,BRONX,1021352,249397,ONLINE,Unspecified,BRONX,,,,,,,,40.851134180432396,-73.86588933611803,"(40.851134180432396, -73.86588933611803)"
